,level_0,level_1,file name
0,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,file name,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json
1,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,run type,Stationary
2,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,date,2021-03-21
3,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,time,19:56:51
4,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,timeZone,unknown
5,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,duration(sec),1515.275
6,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,distance (km),3.8206587313547513
7,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,distance (miles),2.374047262485792
8,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,avg speed (meters/second),2.521429266208939
9,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,avg speed (MPH),5.640276628250846
10,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,max speed (meters/second),2.736123453425147
11,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,max speed (MPH),6.120533846886836
12,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,calories,320
13,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,avg HR,152
14,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,max HR,168
15,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,elevation gain,0
16,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,elevation loss,0
17,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,min elevation,0
18,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,max elevation,0
19,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,avg cadence,88
20,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,max cadence,105
21,2021-03-21_14-56-51_nk_c5a52479-ba88-440f-af53-20e1c6a2771b.metadata.json,steps,4420
22,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,file name,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json
23,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,run type,Stationary
24,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,date,2021-03-26
25,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,time,17:59:08
26,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,timeZone,unknown
27,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,duration(sec),1561.158
28,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,distance (km),3.956061111204555
29,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,distance (miles),2.4581824003818964
30,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,avg speed (meters/second),2.534055560810985
31,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,avg speed (MPH),5.6685208448543944
32,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,max speed (meters/second),2.717318413374548
33,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,max speed (MPH),6.078468170362748
34,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,calories,318
35,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,avg HR,148
36,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,max HR,162
37,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,elevation gain,0
38,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,elevation loss,0
39,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,min elevation,0
40,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,max elevation,0
41,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,avg cadence,87
42,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,max cadence,108
43,2021-03-26_12-59-08_nk_94bf839c-7139-470f-bd3f-a58a950d3363.metadata.json,steps,4507
44,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,file name,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json
45,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,run type,Stationary
46,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,date,2021-03-29
47,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,time,20:15:32
48,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,timeZone,unknown
49,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,duration(sec),679.014
50,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,distance (km),1.710498937611117
51,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,distance (miles),1.0628547603571554
52,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg speed (meters/second),2.519092297966047
53,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg speed (MPH),5.635048979179744
54,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max speed (meters/second),2.701583556068619
55,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max speed (MPH),6.043270297037144
56,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,calories,132
57,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg HR,142
58,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max HR,181
59,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,elevation gain,0
60,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,elevation loss,0
61,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,min elevation,0
62,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max elevation,0
63,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,avg cadence,85
64,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,max cadence,93
65,2021-03-29_15-15-32_nk_90f8d9a5-3747-41d0-8fe6-88e47bab0d72.metadata.json,steps,1914
66,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,file name,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json
67,2021-04-02_13-48-35_nk_fa3003f9-18cc-462a-8919-b7790e3aacd0.metadata.json,run type,Stationary
